gene	target	n_mut	n_wt	med_fc_mut	med_fc_wt	effect	p_value	q_value	sig
CBS	CD44	5	174	-1.3979	-0.1761	-1.2218	0.12958525203886292	0.9962269014109203	False
CBS	CHI3L1	5	174	-0.679	0.1972	-0.8762	0.05763300607411174	0.9962269014109203	False
ZNF536	CD44	11	168	1.3908	-0.1904	1.5812	0.17752877737491002	0.9962269014109203	False
F13A1	CHI3L1	6	173	-0.7106	0.1594	-0.8699	0.22170537133266346	0.9962269014109203	False
LATS2	CHI3L1	5	174	-1.1806	0.1972	-1.3778	0.013601748559814535	0.9962269014109203	False
PTPRD	CD44	7	172	0.8239	-0.1904	1.0143	0.35415983736620593	0.9962269014109203	False
USP20	CHI3L1	5	174	0.8745	0.1452	0.7294	0.33081424649745245	0.9962269014109203	False
NOS1	CD44	6	173	0.682	-0.1808	0.8628	0.158588916476539	0.9962269014109203	False
UHRF1BP1	CHI3L1	6	173	2.0677	0.1356	1.9321	0.15617407585754717	0.9962269014109203	False
C1orf112	CD44	5	174	-0.8866	-0.1761	-0.7105	0.33081424649745245	0.9962269014109203	False
TRHR	CD44	5	174	-3.4749	-0.1761	-3.2987	0.07586774342295241	0.9962269014109203	False
TRHR	CHI3L1	5	174	-0.679	0.166	-0.845	0.19703083127320498	0.9962269014109203	False
ACVR1C	CD44	5	174	0.3615	-0.1904	0.5519	0.4447808678779317	0.9962269014109203	False
DCHS1	CD44	11	168	-0.5204	-0.1488	-0.3716	0.1029543105698511	0.9962269014109203	False
MDC1	CD44	17	162	0.6213	-0.237	0.8583	0.055317735403577366	0.9962269014109203	False
PLCG2	CHI3L1	6	173	-1.1262	0.2217	-1.3479	0.06251605438862466	0.9962269014109203	False
FAM198B	CHI3L1	6	173	-2.4862	0.2217	-2.7079	0.013214223124399394	0.9962269014109203	False
SLC5A4	CHI3L1	6	173	-0.6241	0.1594	-0.7835	0.17106509507930803	0.9962269014109203	False
PHLPP1	CHI3L1	8	171	1.3632	0.1356	1.2275	0.33660189244925576	0.9962269014109203	False
KRTAP9-6	CD44	7	172	0.6488	-0.2113	0.8601	0.3133283615246346	0.9962269014109203	False
MUC20	CHI3L1	6	173	-1.1557	0.1726	-1.3283	0.10054490981107192	0.9962269014109203	False
ACSM2B	CHI3L1	5	174	-0.7039	0.166	-0.8699	0.3264917205061621	0.9962269014109203	False
AUTS2	CD44	10	169	-0.6544	-0.1724	-0.482	0.43056029070406554	0.9962269014109203	False
PCF11	CD44	11	168	0.6488	-0.2113	0.8601	0.1029543105698511	0.9962269014109203	False
PCF11	CHI3L1	11	168	1.408	0.1231	1.2848	0.11626761566476168	0.9962269014109203	False
ACVR1C	CHI3L1	5	174	1.2402	0.1231	1.117	0.1250248840983886	0.9962269014109203	False
DLG2	CHI3L1	5	174	-0.679	0.157	-0.8361	0.4144813038033697	0.9962269014109203	False
SLC17A7	CD44	6	173	0.6032	-0.1808	0.784	0.2962872916294637	0.9962269014109203	False
SLC13A3	CHI3L1	5	174	-1.0398	0.1972	-1.2369	0.033034512291775335	0.9962269014109203	False
UHRF1BP1	CD44	6	173	1.2157	-0.2	1.4157	0.12508974554960348	0.9962269014109203	False
PLEKHH1	CD44	7	172	3.6705	-0.2113	3.8819	0.052134822301951406	0.9962269014109203	False
PLEKHH1	CHI3L1	7	172	-1.0398	0.166	-1.2057	0.3817399128017028	0.9962269014109203	False
NLRP8	CHI3L1	5	174	-0.6445	0.166	-0.8105	0.297206719109331	0.9962269014109203	False
MYO1A	CD44	6	173	1.0097	-0.1808	1.1905	0.42085517962799024	0.9962269014109203	False
MYO1A	CHI3L1	6	173	-0.2966	0.1594	-0.456	0.35116949093605665	0.9962269014109203	False
NLRP13	CHI3L1	5	174	1.4961	0.1452	1.351	0.19394660273662845	0.9962269014109203	False
RNF8	CD44	5	174	0.8239	-0.1904	1.0143	0.15682759984095518	0.9962269014109203	False
RNF8	CHI3L1	5	174	-0.7039	0.166	-0.8699	0.33081424649745245	0.9962269014109203	False
MYO1F	CHI3L1	9	170	2.4579	0.1231	2.3348	0.19917998684819083	0.9962269014109203	False
NKTR	CD44	6	173	-1.0017	-0.1724	-0.8293	0.1659937616835278	0.9962269014109203	False
SERGEF	CHI3L1	5	174	-0.679	0.166	-0.845	0.3901386914648556	0.9962269014109203	False
GCSAML	CD44	5	174	1.5771	-0.2248	1.802	0.007769480184417905	0.9962269014109203	False
TRPS1	CHI3L1	7	172	1.408	0.1452	1.2628	0.2889557190089057	0.9962269014109203	False
KDM5A	CD44	10	169	-0.5093	-0.1488	-0.3605	0.15853177322501721	0.9962269014109203	False
CSNK1G3	CD44	6	173	-0.6354	-0.1798	-0.4555	0.35116949093605665	0.9962269014109203	False
CSNK1G3	CHI3L1	6	173	2.0897	0.1356	1.9541	0.17887654792452554	0.9962269014109203	False
SMARCC2	CD44	5	174	0.8239	-0.1904	1.0143	0.20329929313671713	0.9962269014109203	False
SMARCC2	CHI3L1	5	174	1.5527	0.1452	1.4075	0.37126973102541483	0.9962269014109203	False
KIAA2022	CHI3L1	5	174	2.9618	0.1452	2.8166	0.17045760834132093	0.9962269014109203	False
COBL	CD44	5	174	0.916	-0.1904	1.1064	0.30954874278774286	0.9962269014109203	False
COBL	CHI3L1	5	174	2.9618	0.1231	2.8386	0.03730305106079234	0.9962269014109203	False
POU6F2	CD44	6	173	0.7364	-0.2	0.9363	0.359478426974611	0.9962269014109203	False
NLRP7	CD44	6	173	0.4525	-0.2	0.6525	0.3982959584168496	0.9962269014109203	False
NLRP7	CHI3L1	6	173	2.3952	0.1107	2.2846	0.07142270696335914	0.9962269014109203	False
ATP8B4	CD44	6	173	-1.0017	-0.1798	-0.8219	0.19244805461211537	0.9962269014109203	False
SNRNP200	CD44	7	172	-0.309	-0.1606	-0.1484	0.2788948257256288	0.9962269014109203	False
POM121L2	CD44	6	173	0.322	-0.2	0.522	0.2675208584289135	0.9962269014109203	False
POM121L2	CHI3L1	6	173	-0.6915	0.1594	-0.8508	0.42545073759959007	0.9962269014109203	False
COL5A1	CD44	11	168	-0.9617	-0.1488	-0.8129	0.03797177431830698	0.9962269014109203	False
HDAC6	CHI3L1	5	174	1.8254	0.1231	1.7023	0.3053999160174202	0.9962269014109203	False
TLE4	CD44	5	174	0.8239	-0.1904	1.0143	0.35747528346745955	0.9962269014109203	False
TLE4	CHI3L1	5	174	-1.0398	0.157	-1.1968	0.4095461783497796	0.9962269014109203	False
EPRS	CD44	8	171	0.1561	-0.1808	0.337	0.4311681842962508	0.9962269014109203	False
EPRS	CHI3L1	8	171	-0.8718	0.1726	-1.0444	0.11508230586046703	0.9962269014109203	False
DOPEY1	CHI3L1	7	172	-1.0398	0.166	-1.2057	0.2148827339439351	0.9962269014109203	False
AZGP1	CD44	5	174	4.0235	-0.1904	4.2139	0.06839823063176105	0.9962269014109203	False
COG1	CD44	6	173	-0.9647	-0.1724	-0.7922	0.2247885694057986	0.9962269014109203	False
KIF1B	CD44	7	172	3.4326	-0.2113	3.6439	0.03698421506720981	0.9962269014109203	False
