pathway_id	pathway_name	target	n_mut	n_wt	med_fc_mut	med_fc_wt	effect	p_value	q_value	sig
R-HSA-877312	Regulation of IFNG signaling	CD44	22	157	-0.1932	-0.1808	-0.0124	0.8899324394753176	0.9958970300880995	False
R-HSA-9680350	Signaling by CSF1 (M-CSF) in myeloid cells	CHI3L1	24	155	-0.4684	0.2217	-0.6901	0.5103556625871926	0.9958970300880995	False
R-HSA-9680350	Signaling by CSF1 (M-CSF) in myeloid cells	CD44	24	155	0.4018	-0.2227	0.6245	0.569095638582711	0.9958970300880995	False
R-HSA-110056	MAPK3 (ERK1) activation	CHI3L1	20	159	-0.094	0.1594	-0.2534	0.8708780063664431	0.9958970300880995	False
R-HSA-111367	SLBP independent Processing of Histone Pre-mRNAs	CD44	8	171	0.1362	-0.2	0.3362	0.9481233718181906	0.9958970300880995	False
R-HSA-114604	GPVI-mediated activation cascade	CHI3L1	25	154	-0.4048	0.3907	-0.7955	0.16647598855193957	0.9958970300880995	False
R-HSA-114604	GPVI-mediated activation cascade	CD44	25	154	-0.2727	-0.1803	-0.0923	0.7313703126380415	0.9958970300880995	False
R-HSA-9703648	Signaling by FLT3 ITD and TKD mutants	CHI3L1	16	163	-0.3066	0.1726	-0.4792	0.5937566960697525	0.9958970300880995	False
R-HSA-9703648	Signaling by FLT3 ITD and TKD mutants	CD44	16	163	0.1385	-0.2	0.3385	0.9174499231699196	0.9958970300880995	False
R-HSA-5654732	Negative regulation of FGFR3 signaling	CHI3L1	24	155	-0.4684	0.2217	-0.6901	0.5103556625871926	0.9958970300880995	False
R-HSA-5654732	Negative regulation of FGFR3 signaling	CD44	24	155	0.4018	-0.2227	0.6245	0.569095638582711	0.9958970300880995	False
R-HSA-210993	Tie2 Signaling	CHI3L1	18	161	-0.3066	0.1726	-0.4792	0.46451422818610155	0.9958970300880995	False
R-HSA-77588	SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs	CHI3L1	8	171	0.912	0.1356	0.7763	0.3802716585582032	0.9958970300880995	False
R-HSA-109704	PI3K Cascade	CHI3L1	18	161	-0.3066	0.1726	-0.4792	0.4912845252399114	0.9958970300880995	False
R-HSA-109704	PI3K Cascade	CD44	18	161	0.4018	-0.2227	0.6245	0.5003886571016664	0.9958970300880995	False
R-HSA-5654720	PI-3K cascade:FGFR4	CHI3L1	16	163	-0.3066	0.1726	-0.4792	0.5937566960697525	0.9958970300880995	False
